Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burundi,BDI,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,-0.4512626237,-11.20322551,-3.766860947,19.22924479,5.98831967,5.234921701,-4.450063397,6.596780822,16.98033755,15.96339107,8.221738111,-2.402625005,5.997142468,8.348477598,7.833429517,5.591120353,7.090833434,-0.7272684647,,,3.543673658,0.2450482182,-16.67919754,2.732903688,18.25203631,5.614402302,4.514521187,-0.3337127,13.83318731,7.915110852,-6.19483254,3.274557502,3.554153982,4.492486953,0.02268561894,6.664371597,9.840570485,-4.937060845,13.13730771,3.00359678,18.15767576,13.56590239,5.877798674,4.000870677,2.610779565
Belgium,BEL,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.596098155,2.588145618,4.344562975,-1.362331084,2.377428574,4.195490191,1.468030817,-2.46960852,3.836592954,5.599991796,4.266334386,4.580099734,7.329021134,6.052313967,7.114170487,3.557093414,4.557501514,
Burkina Faso,BFA,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.944070101,5.435521584,2.204376718,-3.82524863,2.511578975,1.285141169,-1.388528991,-0.7416397274,7.5780202,5.995918151,7.545939073,2.622405522,5.024211614,5.628913773,4.990537696,-0.2784804688,7.124791869,
Bangladesh,BGD,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,33.79505835,13.86156226,-12.26921967,-2.094867647,-5.988132182,1.1279848,1.16377388,2.439473298,3.020813216,-6.211926915,4.374505694,3.353217679,6.837361623,6.006888297,7.803215576,11.71898735,11.05035713,13.74096927,9.125764688,5.455284559,-5.16455193,8.853321042,7.825648109,8.978643048,8.998203238,9.256955718,8.389699357,5.88445428,5.582355611,5.764269122,5.466993804,5.789111439,4.661742572,6.146538327,4.736123572,5.064197684,5.343332657,5.988693908,6.885866275,5.512644317,-13.64213564,4.276539894,3.634303658,5.689544721,4.289204994,3.076215735,1.972480573
Bulgaria,BGR,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.068475431,17.05248509,17.26117498,-23.99021882,139.96371,-69.10635919,-14.83204571,9.852276346,3.690178197,4.705183028,5.160852872,6.217822817,3.115855056,1.93886863,2.000862714,-1.007323305,2.538146641,7.200161594,10.30140799,4.256292142,8.50745698,8.96499493,6.830324565,4.373211831,2.972195972,0.6003894418,0.7009106411,-0.6533584959,0.07555571464,-2.815665962,-9.865773105
Bahrain,BHR,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,31.89907888,6.796161531,5.676506993,4.267214334,3.419726616,11.47487059,15.81804425,14.29430179,3.150137647,10.49670309,12.0998222,11.16094554,20.28486313,8.842683583,-14.14585643,14.54559467,4.827361494,-0.2830273541,-2.781093221,-5.199029249,-0.796745563,-0.156120282,-2.821019814,24.06196772,-0.1802158759,-2.684533731,2.93184586,5.529618512,7.667328425,15.88629145,,,,,,,
"Bahamas, The",BHS,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,6.944387122,7.639237248,7.092680989,0.5259160943,0.7512873933,-5.683085006,7.044690611,4.739740264,7.587918589,1.726529261,4.385243645,2.264504227,7.405764801,7.058839804,3.736699612,6.28283715,4.020735797,8.381727713,4.591386264,5.900219275,5.709560438,-34.97680561,-5.529743924,6.137344746,5.031693984,5.626102491,1.961544767,4.790218817,4.748641289,0.461484356,4.633698786,2.479595861,3.952701096,6.604411519,5.915500481,5.972609325,1.435800324,3.269812454,0.8305978236,1.291537439,3.985846465,2.387806513,2.501530589,0.2644754072,6.75336135,3.19901863,6.566564395
Bosnia and Herzegovina,BIH,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.321324798,9.327539854,7.947864517,3.223953257,0.1985519982,0.9180347672,-0.3326191682,7.732691915,6.39214699,4.880421152,6.481564755,7.276478303,5.58529959,4.363562765,3.853482163,2.555420954,0.9715348562,0.7960481072,3.00786242,-1.582143548,-7.91169802
Belarus,BLR,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.29939147,-85.1883272,-87.85285742,-63.88725834,5.607158533,-23.215656,-28.0828261,-63.7610255,-41.22954902,-18.14018627,-5.52846907,-5.134717064,-4.700862736,-6.399671342,-1.721871615,-3.807565698,-10.44729539,2.211575835,-1.863419192,-33.59694663,-31.8270994,-1.751616071,0.5390994698,1.775587384,5.59252291,0.9529954726,-3.070649885,0.4111600065,-2.543290175,-4.516671377,-0.7151946703
